movie_id,keyword_id,keyword_name
14164,3436,karate
14164,9715,superhero
14164,9748,revenge
14164,12554,dragon
14164,13141,based on manga
14164,179431,duringcreditsstinger
14164,245230,live action remake
14164,285442,live action anime
5491,818,based on novel or book
5491,4458,post-apocalyptic future
5491,4565,dystopia
5491,6015,mining
5491,9878,fighter jet
5491,14909,alien invasion
5491,159314,scientology
5491,159955,cavemen
5491,208997,bureaucrat
5491,213987,city ruin
12142,703,detective
12142,1299,monster
12142,1992,professor
12142,2041,island
12142,2598,museum
12142,3762,darkness
12142,4862,alien life-form
12142,9853,paranormal
12142,9854,artifact
12142,11627,paranormal phenomena
12142,12377,zombie
12142,15043,paranormal investigation
12142,33505,gothic
12142,41645,based on video game
12142,156174,occult
12142,251513,supernatural power
12142,269233,good versus evil
13805,5096,natural disaster
13805,6241,stupidity
13805,9755,parody
13805,11931,spoof
13805,156240,mortal danger
13805,179431,duringcreditsstinger
74849,65,holiday
74849,3741,talk show
74849,4344,musical
74849,9882,space
74849,40879,drunk
74849,161176,space opera
74849,194610,variety show
94365,2804,exploitation
94365,9663,sequel
94365,10292,gore
94365,11034,b movie
94365,13006,torture
94365,193698,torture porn
94365,214643,ifc midnight
9760,9755,parody
9760,9964,crude humor
9760,11931,spoof
205321,387,california
205321,720,helicopter
205321,966,beach
205321,2213,tornado
205321,2215,hurricane
205321,10563,attack
205321,12394,chainsaw
205321,13031,creature
205321,14527,storm
205321,14601,explosion
205321,15097,shark
205321,173272,flood
505423,567,alcohol
505423,818,based on novel or book
505423,3298,hallucination
505423,3458,bartender
505423,7289,cafeteria
505423,7325,cockroach
505423,15001,demon
505423,169517,roach
505423,189102,tunnel
505423,221385,gnosticism
505423,305164,faithful adaptation
7278,1721,fight
7278,2011,queen
7278,3028,penguin
7278,4380,black hole
7278,6092,army
7278,9755,parody
7278,11931,spoof
7278,171603,s.a.t.
7278,179430,aftercreditsstinger
7278,179431,duringcreditsstinger
580,2988,shark attack
580,3345,bahamas
580,3737,dying and death
580,5160,animal attack
580,9663,sequel
580,9748,revenge
580,13031,creature
580,14785,underwater
580,15097,shark
580,15098,great white shark
580,167861,caribbean sea
580,227106,banana boat
10214,1009,baby
10214,2546,mask
10214,3289,villain
10214,4375,transformation
10214,5895,viking
10214,9253,slapstick comedy
10214,9715,superhero
10214,9717,based on comic
10214,9887,surrealism
10214,15162,dog
10214,33556,urban setting
10214,162487,wisecrack humor
10214,163074,super villain
10214,179101,norse mythology
10214,251513,supernatural power
14164,3436,karate
14164,9715,superhero
14164,9748,revenge
14164,12554,dragon
14164,13141,based on manga
14164,179431,duringcreditsstinger
14164,245230,live action remake
14164,285442,live action anime
5491,818,based on novel or book
5491,4458,post-apocalyptic future
5491,4565,dystopia
5491,6015,mining
5491,9878,fighter jet
5491,14909,alien invasion
5491,159314,scientology
5491,159955,cavemen
5491,208997,bureaucrat
5491,213987,city ruin
12142,703,detective
12142,1299,monster
12142,1992,professor
12142,2041,island
12142,2598,museum
12142,3762,darkness
12142,4862,alien life-form
12142,9853,paranormal
12142,9854,artifact
12142,11627,paranormal phenomena
12142,12377,zombie
12142,15043,paranormal investigation
12142,33505,gothic
12142,41645,based on video game
12142,156174,occult
12142,251513,supernatural power
12142,269233,good versus evil
13805,5096,natural disaster
13805,6241,stupidity
13805,9755,parody
13805,11931,spoof
13805,156240,mortal danger
13805,179431,duringcreditsstinger
74849,65,holiday
74849,3741,talk show
74849,4344,musical
74849,9882,space
74849,40879,drunk
74849,161176,space opera
74849,194610,variety show
94365,2804,exploitation
94365,9663,sequel
94365,10292,gore
94365,11034,b movie
94365,13006,torture
94365,193698,torture porn
94365,214643,ifc midnight
9760,9755,parody
9760,9964,crude humor
9760,11931,spoof
205321,387,california
205321,720,helicopter
205321,966,beach
205321,2213,tornado
205321,2215,hurricane
205321,10563,attack
205321,12394,chainsaw
205321,13031,creature
205321,14527,storm
205321,14601,explosion
205321,15097,shark
205321,173272,flood
505423,567,alcohol
505423,818,based on novel or book
505423,3298,hallucination
505423,3458,bartender
