movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
594767,False,2,1302082,Directing,David F. Sandberg,David F. Sandberg,4.033,/10p2i4OW0JWAbnOb7yMLUEGdSqM.jpg,5cb23bab0e0a260ad6c22de2,Directing,Director
640146,False,2,59026,Directing,Peyton Reed,Peyton Reed,9.978,/aucXNycAtFREMIKr6ikmHvd2Mmp.jpg,5dbc9866d388ae0016d85970,Directing,Director
76600,False,2,2710,Directing,James Cameron,James Cameron,18.867,/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,52fe4943c3a368484e122b45,Directing,Director
1008005,False,2,74661,Directing,Víctor García,Víctor García,1.169,/nqBO7AHn6QS8ixc0PQlae4ySyi5.jpg,62ea58d325cd850058028f9a,Directing,Director
315162,False,2,1450348,Directing,Joel Crawford,Joel Crawford,5.676,/3F60mZB4sGgB51jAIglwn6OrUgB.jpg,6052483bd2147c00287d2b63,Directing,Director
713704,False,2,1398631,Directing,Lee Cronin,Lee Cronin,42.787,/9OIp9eF17h87lOCEe76vTBVOjVN.jpg,5ede7c54f36a32001f8bd2df,Directing,Director
603692,False,2,40644,Directing,Chad Stahelski,Chad Stahelski,22.909,/eRCryGwKDH4XqUlrdkERmeBWPo8.jpg,5ce4f9d3c3a3683bd81fdded,Directing,Director
849869,False,2,1293686,Directing,Byun Sung-hyun,Byun Sung-hyun,2.126,,60ec1b825e1200004604194e,Directing,Director
1104040,False,0,2440249,Directing,Jadesola Osiberu,Jadesola Osiberu,0.6,,641d65bae0ec5100b85ac698,Directing,Director
842945,False,0,3130361,Directing,Herbert James Winterstern,Herbert James Winterstern,0.996,,60ced0260021340057a2722a,Directing,Director
948713,False,2,213107,Directing,Edward Bazalgette,Edward Bazalgette,2.961,/1gfOa6od3pMYvfH8GRhY2QU0nLp.jpg,622cea60ea89f500790090c2,Directing,Director
505642,False,2,1056121,Directing,Ryan Coogler,Ryan Coogler,4.129,/40n61jOMzHpDSnzLBQOSEEWlxEw.jpg,5bbff151c3a3682d4700d6ff,Directing,Director
436270,False,2,59521,Directing,Jaume Collet-Serra,Jaume Collet-Serra,5.71,/s1MdlS2wnzfKevPfXK63V1qkwfI.jpg,5cfabe43c3a36868871ec1c4,Directing,Director
676710,False,2,57917,Directing,Toby Genkel,Toby Genkel,3.998,,5e54674015959f0019a75354,Directing,Director
296271,False,0,131668,Directing,Nathan Frankowski,Nathan Frankowski,0.6,,5ebafb8111c066001f226dc4,Directing,Director
1076605,False,0,1466590,Directing,Martín Duplaquet,Martín Duplaquet,0.6,,63ca93feed96bc0086e38492,Directing,Director
1084225,False,2,2081329,Directing,Shal Ngo,Shal Ngo,0.6,,63e409b17304b500b400ffc6,Directing,Director
646389,False,2,58324,Directing,Jean-François Richet,Jean-François Richet,2.055,/PipS4XiDbV0hDfhydX9p8PkqZh.jpg,610a9d6feea34d0073121f73,Directing,Director
1023313,False,2,105574,Directing,Adrián García Bogliano,Adrián García Bogliano,1.4,,631e16415684630083ccdf29,Directing,Director
943822,False,2,1827463,Directing,Daniel Graham,Daniel Graham,0.766,,621a1e7192e55b006c299d94,Directing,Director
984105,False,2,2114488,Directing,Steven Lawson,Steven Lawson,1.4,,629c75c67ad08c6ee322eca1,Directing,Director
964426,False,2,142005,Directing,Hallvard Bræin,Hallvard Bræin,1.361,/tHe0mKzy56TZBULdBzaADbFLwFl.jpg,625db823dd731b32870b2f94,Directing,Director
631842,False,2,11614,Directing,M. Night Shyamalan,M. Night Shyamalan,6.063,/tOhFWjauKvJgjCVLJFnhbBCZuxZ.jpg,5d8067168e20c5001234bd3f,Directing,Director
676841,False,2,1472483,Directing,Noé Santillán-López,Noé Santillán-López,0.84,,63d8e07ea6c10400858703c5,Directing,Director
536554,False,2,1288796,Directing,Gerard Johnstone,Gerard Johnstone,3.73,/cdvpfGKHLchtOtoN8gtVWhSHabN.jpg,5b4fa156c3a368304b016a9d,Directing,Director
1073413,False,2,588816,Directing,Carlos Therón,Carlos Therón,2.485,,63c149f705a53300c110642c,Directing,Director
758009,False,2,168667,Directing,Jason Moore,Jason Moore,1.4,/iM4Dwtt8JSOYyZSgPOuBn89MWeu.jpg,5f98533ea294f000387e2407,Directing,Director
1077280,False,2,1113994,Directing,Eric Appel,Eric Appel,1.4,/vRbnqV3te2xSsz3VPXZi8rKTBti.jpg,63cd09e29a643500872b384b,Directing,Director
385687,False,2,18865,Directing,Louis Leterrier,Louis Leterrier,13.77,/pJl1hNtZOIxrdzQjwGlicWWGSXg.jpg,62700baac56d2d6f7690125e,Directing,Director
1003579,False,2,90367,Directing,Sam Liu,Sam Liu,4.62,/3u01dPeS4Us9sUFzwS8DzjA3udr.jpg,63915460048638007de4406f,Directing,Director
1003579,False,2,209181,Directing,Christopher Berkeley,Christopher Berkeley,2.559,,6391546e04863800843ed7fb,Directing,Director
985939,False,2,90812,Directing,Scott Mann,Scott Mann,1.562,/8WygpUzfdfztZQqxGE5zn3rCedJ.jpg,62a21c922b531d0099cec261,Directing,Director
884184,False,2,41041,Directing,Christopher Smith,Christopher Smith,2.318,/7Un0sQeq7V9DgJw9n3OEzdo4vod.jpg,6165a5d03a99370062a5f29d,Directing,Director
676547,False,2,120245,Directing,Daniel Stamm,Daniel Stamm,0.6,,5ef8315cbe7f350033a07214,Directing,Director
1087040,False,1,2320901,Directing,Suzanne Hillinger,Suzanne Hillinger,1.4,/pxYaB8D2xbkzXDZyAWKhdIpephN.jpg,63ed07861b729400e6f1420a,Directing,Director
675353,False,2,93364,Directing,Jeff Fowler,Jeff Fowler,1.4,/wExdubFgeBkEUP8MojKPKoOcgdZ.jpg,5e4fc95e9b861600166c210a,Directing,Director
1041513,False,2,1537535,Directing,Chris Howe,Chris Howe,0.6,,635c12731b7294007bef5bdf,Directing,Director
988165,False,0,1670724,Directing,Bobby Easley,Bobby Easley,0.6,,62aa7a81151c5c004f7fd86e,Directing,Director
668482,False,2,111807,Directing,Matthew Warchus,Matthew Warchus,1.22,/qslvs9HG2YlWqD8AaWP6PeNJ2do.jpg,5e3490e543250f0015bfd685,Directing,Director
843794,False,2,939147,Directing,Yeon Sang-ho,Yeon Sang-ho,7.745,/dLP1p4AkU1zwJkDboct58Uub9S7.jpg,60d1bda38d1b8e0074a6f1b2,Directing,Director
109428,False,2,932248,Directing,Fede Álvarez,Fede Álvarez,4.616,/f8KjBkmqAyNGTUkZh1oYIURP4id.jpg,52fe4ab5c3a36847f81dd639,Directing,Director
616037,False,2,55934,Directing,Taika Waititi,Taika Waititi,21.561,/aH6MgwFhomAPNBRPyO2fhpU5kbk.jpg,5d2e0eb4caab6d164099c274,Directing,Director
1003580,False,2,2927725,Directing,Jeff Wamester,Jeff Wamester,0.6,,63484b9acf4a64007f64110f,Directing,Director
842942,False,2,1297488,Directing,Allan Ungar,Allan Ungar,1.62,/kYaklrhmyLtvwwKeLrs8AerBYtP.jpg,60cecf682da846006da1eaaa,Directing,Director
634649,False,2,1293994,Directing,Jon Watts,Jon Watts,3.188,/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg,5d8e630d109cd0002941162e,Directing,Director
1058732,False,2,197,Directing,David Silverman,David Silverman,2.134,/rfbJ0PUQsdggzWlLCdjdywDA7VV.jpg,639120bf1e259a00848af771,Directing,Director
361743,False,2,86270,Directing,Joseph Kosinski,Joseph Kosinski,8.093,/oWLUXWY0j8TYzwnf2wETYWO181S.jpg,5925e0fac3a36877fd011ca8,Directing,Director
983768,False,2,42309,Directing,Tibor Takács,Tibor Takács,3.254,/6W3KQ7vcNEs1hOFCkGq9TyeXLFo.jpg,629b3f977ad08c4e670c9684,Directing,Director
736526,False,2,87877,Directing,Roar Uthaug,Roar Uthaug,1.4,/1Uns68Fkz5ZIULfS6XB7uGtzcVR.jpg,5f451b410d11f20034b36512,Directing,Director
507086,False,2,930707,Directing,Colin Trevorrow,Colin Trevorrow,4.182,/i0HBClPMPKn3aq8QeQqyThS67EK.jpg,5e6c27bc2f3b17001441d227,Directing,Director
829410,False,2,62941,Directing,John Hyams,John Hyams,2.487,/7NosT6z5tAM0HlujmIyLpKJckAy.jpg,609daf1ef5c82400791aa6af,Directing,Director
